"","site","year","month","day","tx","tn","p","rad"
"1","Indiana",1972,1,1,6.623,-2.085,0,7.45
"2","Indiana",1972,1,2,2.45,-3.212,3.31355929370147,9.44
"3","Indiana",1972,1,3,5.36,-2.956,0,8.31
"4","Indiana",1972,1,4,1.002,-4.786,5.40760755529845,2.37
"5","Indiana",1972,1,5,-5.355,-17.217,1.77676797511594,9.63
"6","Indiana",1972,1,6,-3.036,-13.748,0,9.93
"7","Indiana",1972,1,7,0.775,-3.964,0,9.5
"8","Indiana",1972,1,8,4.655,-10.63,0,9.51
"9","Indiana",1972,1,9,7.593,3.649,1.32133364667197,4.15
"10","Indiana",1972,1,10,7.777,-1.631,0,9.46
"11","Indiana",1972,1,11,6.33,-5.337,0,6.81
"12","Indiana",1972,1,12,8.85,-4.509,0,8.53
"13","Indiana",1972,1,13,8.25,-6.427,10.9769344329784,4.13
"14","Indiana",1972,1,14,-6.824,-17.374,0,10.87
"15","Indiana",1972,1,15,-18.301,-26.307,0,11.49
"16","Indiana",1972,1,16,-11.899,-30.803,0,10.66
"17","Indiana",1972,1,17,0.402,-11.904,0,10.76
"18","Indiana",1972,1,18,8.435,-0.785,0,3.88
"19","Indiana",1972,1,19,8.995,-3.265,0,9.79
"20","Indiana",1972,1,20,7.272,-0.684,2.26418972010833,3.86
"21","Indiana",1972,1,21,5.527,-3.938,0,7.56
"22","Indiana",1972,1,22,8.348,2.665,2.38276392013859,2.34
"23","Indiana",1972,1,23,3.873,-2.611,3.11960076857076,3.68
"24","Indiana",1972,1,24,13.159,-4.339,2.62364900765988,2.19
"25","Indiana",1972,1,25,7.439,-15.691,0,11.93
"26","Indiana",1972,1,26,-5.966,-12.962,0,10.02
"27","Indiana",1972,1,27,-6.251,-11.45,6.1834096908342,3.12
"28","Indiana",1972,1,28,-7.88,-16.677,2.88891100899491,11.97
"29","Indiana",1972,1,29,-10.264,-22.317,0,12.34
"30","Indiana",1972,1,30,-12.836,-16.131,0,12.81
"31","Indiana",1972,1,31,-0.677,-20.341,0,11.68
"32","Indiana",1972,2,1,0.74,-11.781,0,8.66
"33","Indiana",1972,2,2,2.24,-5.084,0,10.39
"34","Indiana",1972,2,3,0.642,-9.5,4.42036986351013,7.62
"35","Indiana",1972,2,4,-10.572,-18.998,0,11.97
"36","Indiana",1972,2,5,-3.044,-23.036,0,13.14
"37","Indiana",1972,2,6,0.542,-8.116,4.67950999736289,6.28
"38","Indiana",1972,2,7,-9.377,-20.828,0,14.75
"39","Indiana",1972,2,8,-12.179,-25.619,0,12.61
"40","Indiana",1972,2,9,-9.619,-20.643,0,14.39
"41","Indiana",1972,2,10,-6.778,-18.281,0,9.95
"42","Indiana",1972,2,11,0.588,-8.84,0,12.74
"43","Indiana",1972,2,12,3.628,-0.985,0,11.53
"44","Indiana",1972,2,13,1.306,-1.62,0,7.46
"45","Indiana",1972,2,14,9.969,-4.738,0,14.58
"46","Indiana",1972,2,15,5.938,-1.449,3.28867786282672,7.21
"47","Indiana",1972,2,16,3.974,-7.408,0,14.73
"48","Indiana",1972,2,17,10.228,-2.196,0,11.71
"49","Indiana",1972,2,18,5.343,-5.156,3.05338501920005,6.23
"50","Indiana",1972,2,19,-3.827,-8.862,0,14.96
"51","Indiana",1972,2,20,0.877,-13.284,0,15.88
"52","Indiana",1972,2,21,12.734,-1.302,0,9.34
"53","Indiana",1972,2,22,6.996,-10.975,0,16.45
"54","Indiana",1972,2,23,2.241,-4.982,5.26320934295654,3.5
"55","Indiana",1972,2,24,2.114,-3.318,0,9.44
"56","Indiana",1972,2,25,4.632,-4.327,0,12.11
"57","Indiana",1972,2,26,0.961,-5.058,3.39076855590292,17.14
"58","Indiana",1972,2,27,8.188,-6.929,0,15.03
"59","Indiana",1972,2,28,16.679,-2.035,0,14.07
"60","Indiana",1972,2,29,19.47,-0.94,0,16.29
"61","Indiana",1972,3,1,17.309,12.787,0,5.73
"62","Indiana",1972,3,2,14.318,-10.082,7.4013818630192,9.02
"63","Indiana",1972,3,3,3.048,-10.532,0,17.88
"64","Indiana",1972,3,4,3.49,-1.981,1.0889881675098,8.44
"65","Indiana",1972,3,5,-2.038,-11.563,0,18.19
"66","Indiana",1972,3,6,10.648,-7.968,0,14.03
"67","Indiana",1972,3,7,12.692,5.824,0,9.4
"68","Indiana",1972,3,8,3.974,-8.915,0,18.08
"69","Indiana",1972,3,9,5.354,-7.725,0,10.43
"70","Indiana",1972,3,10,2.884,-8.459,0,19.53
"71","Indiana",1972,3,11,19.88,-1.377,0,18.14
"72","Indiana",1972,3,12,19.101,12.461,0,10.02
"73","Indiana",1972,3,13,13.696,1.862,43.2168900966303,2.91
"74","Indiana",1972,3,14,5.564,-3.165,1.60089135005137,13.13
"75","Indiana",1972,3,15,8.212,-4.309,1.05992257590515,7.71
"76","Indiana",1972,3,16,9.579,1.957,6.16121292102889,10.4
"77","Indiana",1972,3,17,9.676,1.723,1.9773870705535,10.87
"78","Indiana",1972,3,18,5.949,-3.326,0,20.8
"79","Indiana",1972,3,19,9.708,-5.645,0,20.64
"80","Indiana",1972,3,20,19.527,3.387,1.25689595688527,19.23
"81","Indiana",1972,3,21,18.849,11.54,2.03544199302996,9.61
"82","Indiana",1972,3,22,12.648,2.653,2.58325507400059,7.76
"83","Indiana",1972,3,23,1.833,-7.085,0,20.51
"84","Indiana",1972,3,24,3.566,-8.353,0,21.29
"85","Indiana",1972,3,25,6.881,-3.947,0,17.15
"86","Indiana",1972,3,26,9.287,-5.32,0,18.84
"87","Indiana",1972,3,27,9.368,1.42,8.76837372777572,8.93
"88","Indiana",1972,3,28,8.323,-0.251,0,14.5
"89","Indiana",1972,3,29,5.58,-1.1,11.3717287777035,6.14
"90","Indiana",1972,3,30,4.798,-4.778,0,23.22
"91","Indiana",1972,3,31,10.286,-3.208,0,21.65
"92","Indiana",1972,4,1,4.482,-1.779,4.16038919900075,17.29
"93","Indiana",1972,4,2,4.942,-2.576,0,14.24
"94","Indiana",1972,4,3,12.962,-3.948,1.05321743285458,17.18
"95","Indiana",1972,4,4,8.707,-4.612,3.31572328104812,24.35
"96","Indiana",1972,4,5,14.558,0.462,0,23.31
"97","Indiana",1972,4,6,21.136,5.11,0,19.7
"98","Indiana",1972,4,7,16.748,-4.856,21.7632353305817,3.83
"99","Indiana",1972,4,8,1.479,-9.663,0,25.21
"100","Indiana",1972,4,9,9.011,-6.168,0,25.07
"101","Indiana",1972,4,10,17.685,2.365,0,18.23
"102","Indiana",1972,4,11,17.163,5.296,0,18.73
"103","Indiana",1972,4,12,22.16,9.579,6.06068372725943,15.83
"104","Indiana",1972,4,13,24.733,15.836,16.7174224865612,23.7
"105","Indiana",1972,4,14,20.156,6.845,2.32034325599173,9.56
"106","Indiana",1972,4,15,18.347,12.301,3.36094498629791,16.44
"107","Indiana",1972,4,16,16.912,7.982,40.1782572268417,16.98
"108","Indiana",1972,4,17,19.774,2.826,0,25.73
"109","Indiana",1972,4,18,22.99,7.774,0,25.92
"110","Indiana",1972,4,19,25.091,15.427,4.50668036864954,18.63
"111","Indiana",1972,4,20,19.296,6.657,35.2200528647586,14.58
"112","Indiana",1972,4,21,12.032,5.189,15.1213258504868,4.92
"113","Indiana",1972,4,22,16.231,6.171,7.72379636754295,16.89
"114","Indiana",1972,4,23,14.114,3.941,0,21.14
"115","Indiana",1972,4,24,11.008,2.48,0,18.31
"116","Indiana",1972,4,25,11.71,-1.023,0,27.85
"117","Indiana",1972,4,26,15.496,-1.956,0,27.93
"118","Indiana",1972,4,27,17.731,1.076,0,27.42
"119","Indiana",1972,4,28,19.435,7.73,0,24.09
"120","Indiana",1972,4,29,16.075,10.893,3.34601402278167,11.62
"121","Indiana",1972,4,30,21.732,10.129,2.06510248085578,20.87
"122","Indiana",1972,5,1,20.53,14.248,10.1745814084957,14.05
"123","Indiana",1972,5,2,19.394,14.53,0,22.22
"124","Indiana",1972,5,3,15.489,6.016,0,18.71
"125","Indiana",1972,5,4,18.341,5.933,0,25.26
"126","Indiana",1972,5,5,20.143,5.832,0,25.48
"127","Indiana",1972,5,6,25.441,14.224,0,25.11
"128","Indiana",1972,5,7,22.491,13.434,6.19625940527158,15.02
"129","Indiana",1972,5,8,17.518,11.368,3.41727857340857,7.03
"130","Indiana",1972,5,9,15.903,6.297,4.74531015714774,26
"131","Indiana",1972,5,10,16.832,2.418,0,29.14
"132","Indiana",1972,5,11,19.638,4.799,0,28.69
"133","Indiana",1972,5,12,22.758,8.611,0,28.75
"134","Indiana",1972,5,13,21.767,12.756,9.13327932357788,9.8
"135","Indiana",1972,5,14,21.862,13.744,10.4952573774995,20.24
"136","Indiana",1972,5,15,17.835,10.563,1.33076896565854,13.04
"137","Indiana",1972,5,16,21.104,10.687,0,24.09
"138","Indiana",1972,5,17,23.436,7.637,0,26.84
"139","Indiana",1972,5,18,26.212,11.289,0,28.66
"140","Indiana",1972,5,19,26.145,13.347,0,28.93
"141","Indiana",1972,5,20,26.924,11.786,0,28.99
"142","Indiana",1972,5,21,28.809,11.767,0,27.3
"143","Indiana",1972,5,22,27.205,16.089,0,28.96
"144","Indiana",1972,5,23,27.777,13.899,0,27.37
"145","Indiana",1972,5,24,28.37,15.585,0,29.55
"146","Indiana",1972,5,25,29.302,14.911,0,29.17
"147","Indiana",1972,5,26,29.086,13.659,0,29.09
"148","Indiana",1972,5,27,28.563,16.126,0,27.5
"149","Indiana",1972,5,28,28.232,15.196,0,28.94
"150","Indiana",1972,5,29,27.284,16.796,9.09844934940196,19
"151","Indiana",1972,5,30,21.607,10.724,13.402134180069,17.79
"152","Indiana",1972,5,31,13.948,6.42,1.27636194218894,8.79
"153","Indiana",1972,6,1,22.422,7.328,0,29.94
"154","Indiana",1972,6,2,27.396,13.148,0,23.93
"155","Indiana",1972,6,3,30.303,17.544,0,27.28
"156","Indiana",1972,6,4,29.866,18.741,3.07082533834091,27.62
"157","Indiana",1972,6,5,27.37,15.663,0,22.03
"158","Indiana",1972,6,6,27.226,19.157,10.5020139317844,26.71
"159","Indiana",1972,6,7,25.298,13.435,0,30.09
"160","Indiana",1972,6,8,24.214,14.759,0,19.84
"161","Indiana",1972,6,9,27.974,16.646,5.36087908585614,22.93
"162","Indiana",1972,6,10,20.038,10.911,5.69040220705119,30.35
"163","Indiana",1972,6,11,20.926,6.064,0,30.54
"164","Indiana",1972,6,12,27.388,12.984,0,24.44
"165","Indiana",1972,6,13,29.794,20.195,3.25100806708178,23.78
"166","Indiana",1972,6,14,30.776,22.665,1.1396132919117,25.53
"167","Indiana",1972,6,15,28.265,17.686,12.142753655155,19.5
"168","Indiana",1972,6,16,24.583,15.285,0,26.66
"169","Indiana",1972,6,17,22.132,9.768,0,23.44
"170","Indiana",1972,6,18,25.865,11.857,0,28.83
"171","Indiana",1972,6,19,29.982,17.071,0,25.23
"172","Indiana",1972,6,20,28.576,20.441,1.35729103658377,21.38
"173","Indiana",1972,6,21,24.801,12.77,0,25.72
"174","Indiana",1972,6,22,18.349,9.714,0,27.12
"175","Indiana",1972,6,23,17.417,8.714,0,27.56
"176","Indiana",1972,6,24,18.45,10.983,0,15.95
"177","Indiana",1972,6,25,22.176,10.738,0,16.03
"178","Indiana",1972,6,26,25.719,13.46,0,21.84
"179","Indiana",1972,6,27,28.896,13.159,0,28.06
"180","Indiana",1972,6,28,28.71,17.349,2.24217176435104,18.42
"181","Indiana",1972,6,29,24.434,17.361,7.50451191208867,14.04
"182","Indiana",1972,6,30,28.628,16.354,0,24.91
"183","Indiana",1972,7,1,31.674,19.152,0,28.93
"184","Indiana",1972,7,2,30.059,19.996,1.13686919212341,20.48
"185","Indiana",1972,7,3,25.081,17.042,6.16444647300796,16.83
"186","Indiana",1972,7,4,22.498,13.305,1.29449047545904,15.99
"187","Indiana",1972,7,5,20.641,9.328,0,18.35
"188","Indiana",1972,7,6,23.126,8.087,0,28.11
"189","Indiana",1972,7,7,25.269,13.886,1.10121629245441,23.93
"190","Indiana",1972,7,8,26.884,15.412,0,23.94
"191","Indiana",1972,7,9,26.402,19.116,2.09269225592834,13.76
"192","Indiana",1972,7,10,31.095,19.799,0,24.35
"193","Indiana",1972,7,11,32.21,21.341,0,26.88
"194","Indiana",1972,7,12,31.277,21.099,0,26.42
"195","Indiana",1972,7,13,31.054,20.819,0,23.43
"196","Indiana",1972,7,14,31.539,23.404,0,25.03
"197","Indiana",1972,7,15,30.131,24.496,1.84046315371234,14.83
"198","Indiana",1972,7,16,27.508,18.521,0,18.72
"199","Indiana",1972,7,17,30.401,18.262,0,23.56
"200","Indiana",1972,7,18,31.412,23.699,3.1851149784643,22.21
"201","Indiana",1972,7,19,30.631,21.769,10.2697432041055,22.85
"202","Indiana",1972,7,20,32.718,22.677,0,26.42
"203","Indiana",1972,7,21,32.68,23.42,0,24.36
"204","Indiana",1972,7,22,32.876,23.727,0,24.46
"205","Indiana",1972,7,23,32.945,22.822,1.60812139500877,24.33
"206","Indiana",1972,7,24,28.957,21.404,15.8268004655788,15.65
"207","Indiana",1972,7,25,26.634,20.316,0,25.72
"208","Indiana",1972,7,26,25.345,14.022,1.5607297420388,19.07
"209","Indiana",1972,7,27,24.004,18.511,4.39496636380454,14.32
"210","Indiana",1972,7,28,24.617,16.808,0,23.59
"211","Indiana",1972,7,29,25.394,15.658,0,24.7
"212","Indiana",1972,7,30,26.659,14.738,0,26.6
"213","Indiana",1972,7,31,28.387,15.938,0,25.73
"214","Indiana",1972,8,1,27.149,17.679,0,15.69
"215","Indiana",1972,8,2,28.209,20.044,4.54336404800415,14.79
"216","Indiana",1972,8,3,26.892,19.226,3.13753485676216,11.72
"217","Indiana",1972,8,4,22.369,15.995,1.3394892215679,14.01
"218","Indiana",1972,8,5,24.578,11.109,0,27.3
"219","Indiana",1972,8,6,27.428,17.478,10.590588733578,9.76
"220","Indiana",1972,8,7,24.422,18.704,14.9335205554912,15.32
"221","Indiana",1972,8,8,22.84,14.668,2.43154168123283,11.15
"222","Indiana",1972,8,9,21.565,11.273,0,22.09
"223","Indiana",1972,8,10,22.229,8.582,0,26.8
"224","Indiana",1972,8,11,26.865,13.388,0,22.96
"225","Indiana",1972,8,12,27.057,19.556,18.5072592921074,15.96
"226","Indiana",1972,8,13,29.288,17.91,1.23967230314292,21.82
"227","Indiana",1972,8,14,30.023,20.516,1.60657791101571,21.15
"228","Indiana",1972,8,15,26.672,21.679,1.57105997850948,13.58
"229","Indiana",1972,8,16,29.239,14.339,0,23.91
"230","Indiana",1972,8,17,31.807,22.202,0,22.52
"231","Indiana",1972,8,18,31.942,22.643,0,23.54
"232","Indiana",1972,8,19,30.016,22.106,4.00584022997919,17.91
"233","Indiana",1972,8,20,29.061,19.462,0,23.47
"234","Indiana",1972,8,21,30.876,20.734,0,23.39
"235","Indiana",1972,8,22,30.188,23.132,9.02160406110397,20.85
"236","Indiana",1972,8,23,27.423,21.519,12.8753781318665,12.65
"237","Indiana",1972,8,24,25.961,20.41,10.3655288134519,17.4
"238","Indiana",1972,8,25,28.716,17.808,2.4753382289191,20.71
"239","Indiana",1972,8,26,24.286,20.417,6.09001489181082,15.95
"240","Indiana",1972,8,27,23.34,19.175,1.64548440221779,12.91
"241","Indiana",1972,8,28,26.981,16.785,0,20.65
"242","Indiana",1972,8,29,29.09,15.491,0,22.12
"243","Indiana",1972,8,30,29.057,16.758,0,22.84
"244","Indiana",1972,8,31,28.464,17.098,0,20.62
"245","Indiana",1972,9,1,28.023,17.236,1.12612524160838,19.66
"246","Indiana",1972,9,2,24.294,14.239,9.63962972163657,5.89
"247","Indiana",1972,9,3,17.385,13.129,1.23095810408813,5.54
"248","Indiana",1972,9,4,20.971,11.549,0,19.99
"249","Indiana",1972,9,5,23.052,10.867,0,21.34
"250","Indiana",1972,9,6,24.711,12.195,0,22.27
"251","Indiana",1972,9,7,27.341,16.525,0,15.22
"252","Indiana",1972,9,8,25.475,20.709,9.51491594304343,15.18
"253","Indiana",1972,9,9,22.326,14.694,0,20.69
"254","Indiana",1972,9,10,23.451,10.806,0,21.2
"255","Indiana",1972,9,11,28.309,15.039,0,16.4
"256","Indiana",1972,9,12,27.653,20.027,4.56930696782365,14.99
"257","Indiana",1972,9,13,30.544,22.328,0,18.41
"258","Indiana",1972,9,14,25.659,21.029,33.4200710058212,10.43
"259","Indiana",1972,9,15,23.93,10.922,0,17.77
"260","Indiana",1972,9,16,27.229,16.451,0,19.78
"261","Indiana",1972,9,17,29.12,21.676,0,18.22
"262","Indiana",1972,9,18,28.959,20.711,0,12.23
"263","Indiana",1972,9,19,26.962,19.162,0,13.73
"264","Indiana",1972,9,20,27.346,14.374,0,19.12
"265","Indiana",1972,9,21,23.538,15.04,3.38397140575353,5.59
"266","Indiana",1972,9,22,19.311,9.666,0,20.35
"267","Indiana",1972,9,23,18.798,11.365,14.2567187547797,4.78
"268","Indiana",1972,9,24,24.156,18.03,4.82925176619986,8.85
"269","Indiana",1972,9,25,23.284,19.55,8.50159525862182,5.25
"270","Indiana",1972,9,26,25.183,20.122,8.03349018093513,8.26
"271","Indiana",1972,9,27,21.388,15.976,0,4
"272","Indiana",1972,9,28,24.543,15.146,0,12.8
"273","Indiana",1972,9,29,22.366,14.179,5.43231905840003,5.23
"274","Indiana",1972,9,30,12.871,5.334,2.69415378570059,18.69
"275","Indiana",1972,10,1,18.786,5.924,0,17.27
"276","Indiana",1972,10,2,22.243,9.788,0,17.57
"277","Indiana",1972,10,3,22.267,12.658,0,15.33
"278","Indiana",1972,10,4,19.779,14.652,7.26854801177979,7.81
"279","Indiana",1972,10,5,19.643,11.989,0,7.57
"280","Indiana",1972,10,6,20.247,11.287,0,9.29
"281","Indiana",1972,10,7,16.38,10.542,0,14.81
"282","Indiana",1972,10,8,20.652,9.388,0,16.73
"283","Indiana",1972,10,9,15.393,6.023,0,16.38
"284","Indiana",1972,10,10,17.832,5.748,0,14.67
"285","Indiana",1972,10,11,20.811,13.089,8.23768973350525,9.54
"286","Indiana",1972,10,12,18.473,13.386,13.3847415446553,10.92
"287","Indiana",1972,10,13,14.754,6.471,0,14.08
"288","Indiana",1972,10,14,19.031,10.794,0,10.84
"289","Indiana",1972,10,15,12.679,3.325,0,15.54
"290","Indiana",1972,10,16,18.733,8.614,1.70291066160644,14.4
"291","Indiana",1972,10,17,16.716,5.458,0,15.62
"292","Indiana",1972,10,18,5.35,1.938,3.07275354850844,3.54
"293","Indiana",1972,10,19,5.742,-0.966,0,15.65
"294","Indiana",1972,10,20,9.374,-2.777,0,13.88
"295","Indiana",1972,10,21,9.854,5.985,4.05897307331315,1.58
"296","Indiana",1972,10,22,16.369,9.278,15.2239799499512,3.11
"297","Indiana",1972,10,23,15.612,8.156,6.49935967066995,4.4
"298","Indiana",1972,10,24,8.273,6.288,0,2.01
"299","Indiana",1972,10,25,8.345,4.826,0,7.68
"300","Indiana",1972,10,26,12.324,1.297,0,14.2
"301","Indiana",1972,10,27,15.056,2.681,1.21015310287476,6.17
"302","Indiana",1972,10,28,12.669,10.673,2.27239727973938,1.57
"303","Indiana",1972,10,29,10.771,7.785,1.08863413333893,5.17
"304","Indiana",1972,10,30,10.671,6.627,0,3.98
"305","Indiana",1972,10,31,9.18,6.368,0,1.42
"306","Indiana",1972,11,1,12.548,7.386,5.85886836051941,2.15
"307","Indiana",1972,11,2,18.108,10.459,9.34005464080201,11.39
"308","Indiana",1972,11,3,11.21,4.139,0,5.92
"309","Indiana",1972,11,4,8.396,4.966,0,6.53
"310","Indiana",1972,11,5,10.938,2.162,0,10.85
"311","Indiana",1972,11,6,16.028,3.393,0,11.15
"312","Indiana",1972,11,7,12.826,8.939,16.9486641883623,1.04
"313","Indiana",1972,11,8,8.494,5.98,0,4.09
"314","Indiana",1972,11,9,9.405,5.806,0,5.63
"315","Indiana",1972,11,10,8.751,4.005,4.6161481036151,3.42
"316","Indiana",1972,11,11,8.126,4.25,0,7.73
"317","Indiana",1972,11,12,8.061,3.493,0,4.94
"318","Indiana",1972,11,13,6.303,4.556,21.3842609759354,0.71
"319","Indiana",1972,11,14,4.802,1.09,18.9613759517329,3.64
"320","Indiana",1972,11,15,2.095,-2.005,0,10.68
"321","Indiana",1972,11,16,3.339,-3.291,0,7.34
"322","Indiana",1972,11,17,3.211,-1.581,0,6.55
"323","Indiana",1972,11,18,3.377,-1.354,0,7.79
"324","Indiana",1972,11,19,2.01,0.716,8.66301655770485,1.97
"325","Indiana",1972,11,20,4.787,-0.857,1.19999051094055,8.69
"326","Indiana",1972,11,21,3.377,-0.885,0,4.9
"327","Indiana",1972,11,22,2.455,-4.334,0,8.1
"328","Indiana",1972,11,23,0.061,-4.674,0,7.58
"329","Indiana",1972,11,24,5.899,-4.441,0,10.34
"330","Indiana",1972,11,25,1.959,0.484,7.19411207711573,2.63
"331","Indiana",1972,11,26,0.738,-0.91,5.46180009837371,4.6
"332","Indiana",1972,11,27,1.158,-2.684,1.9996136426812,7.98
"333","Indiana",1972,11,28,-1.256,-5.343,0,9.97
"334","Indiana",1972,11,29,0.548,-8.59,0,9.43
"335","Indiana",1972,11,30,2.332,-5.772,0,10.04
"336","Indiana",1972,12,1,4.518,-4.254,0,5.51
"337","Indiana",1972,12,2,9.674,-9.708,0,9.41
"338","Indiana",1972,12,3,7.531,-0.148,0,7.12
"339","Indiana",1972,12,4,-0.906,-4.949,7.91001356935794,1.42
"340","Indiana",1972,12,5,1.444,-3.975,0,5.16
"341","Indiana",1972,12,6,0.769,-12.81,13.6590003967285,8.89
"342","Indiana",1972,12,7,-5.622,-20.667,0,9.36
"343","Indiana",1972,12,8,0.686,-5.706,4.60041463367133,3.37
"344","Indiana",1972,12,9,-0.328,-9.249,0,6.53
"345","Indiana",1972,12,10,-6.817,-12.995,2.01684236526489,6.14
"346","Indiana",1972,12,11,-11.721,-23.356,0,9.08
"347","Indiana",1972,12,12,2.541,-10.873,16.4009779691128,1.31
"348","Indiana",1972,12,13,1.744,-7.943,5.86627423763275,5.07
"349","Indiana",1972,12,14,-5.64,-9.612,0,5.24
"350","Indiana",1972,12,15,-4.216,-8.982,2.03921681543306,4.44
"351","Indiana",1972,12,16,-9.403,-17.234,0,9.41
"352","Indiana",1972,12,17,-8.977,-23.622,0,9.59
"353","Indiana",1972,12,18,1.507,-9.053,0,8.5
"354","Indiana",1972,12,19,2.636,0.22,1.71064138402244,2.09
"355","Indiana",1972,12,20,2.616,0.655,1.8275469595892,1.56
"356","Indiana",1972,12,21,2.572,0.805,0,3.31
"357","Indiana",1972,12,22,2.38,-0.751,0,4.14
"358","Indiana",1972,12,23,3.34,-1.318,0,4.87
"359","Indiana",1972,12,24,2.523,-0.994,1.14831328392029,2.89
"360","Indiana",1972,12,25,2.861,-1.033,0,4.68
"361","Indiana",1972,12,26,1.315,-2.421,2.31990758732081,3.2
"362","Indiana",1972,12,27,5.903,-6.51,0,8.8
"363","Indiana",1972,12,28,5.205,-1.646,0,7.13
"364","Indiana",1972,12,29,8.325,-0.51,5.30790131506365,3.62
"365","Indiana",1972,12,30,13.056,8.624,13.3423389059999,1.97
"366","Indiana",1972,12,31,12.292,-0.354,3.21233678829458,8.93
"367","Indiana",1973,1,1,1.352,-4.766,0,9.38
"368","Indiana",1973,1,2,0.964,-7.032,0,9.63
"369","Indiana",1973,1,3,6.276,-4.823,14.9137220161037,1.29
"370","Indiana",1973,1,4,8.096,-3.863,3.51611179809197,4.48
"371","Indiana",1973,1,5,-4.465,-10.714,0,6.53
"372","Indiana",1973,1,6,-5.74,-11.155,0,7.08
"373","Indiana",1973,1,7,-4.421,-9.237,0,5.55
"374","Indiana",1973,1,8,-2.823,-6.848,0,7.53
"375","Indiana",1973,1,9,-5.419,-11.774,0,10.12
"376","Indiana",1973,1,10,-6.065,-13.912,0,7.6
"377","Indiana",1973,1,11,-5.529,-9.908,0,9.49
"378","Indiana",1973,1,12,-1.379,-12.177,0,10.32
"379","Indiana",1973,1,13,3.926,-5.856,0,10.06
"380","Indiana",1973,1,14,5.618,-3.02,0,7.74
"381","Indiana",1973,1,15,3.472,-0.077,1.24239623539779,4.39
"382","Indiana",1973,1,16,9.647,-0.355,0,10.16
"383","Indiana",1973,1,17,13.05,4.116,0,5.77
"384","Indiana",1973,1,18,14.068,7.362,0,5.63
"385","Indiana",1973,1,19,12.005,0.103,2.88033735728277,3.91
"386","Indiana",1973,1,20,2.579,-3.804,0,8.32
"387","Indiana",1973,1,21,3.665,-3.831,9.12553880260702,2.72
"388","Indiana",1973,1,22,7.421,2.953,5.90677717826793,4.05
"389","Indiana",1973,1,23,2.087,-1.434,1.66867180723784,3.25
"390","Indiana",1973,1,24,5.075,-4.843,0,11.31
"391","Indiana",1973,1,25,11.407,-2.62,0,11.31
"392","Indiana",1973,1,26,9.843,-2.414,0,4.78
"393","Indiana",1973,1,27,9.783,0.606,0,7.34
"394","Indiana",1973,1,28,6.294,-3.595,9.24240350718719,2.28
"395","Indiana",1973,1,29,-2.485,-6.856,0,10.58
"396","Indiana",1973,1,30,1.046,-8.761,0,12.31
"397","Indiana",1973,1,31,5.335,-4.024,0,6.05
"398","Indiana",1973,2,1,9.933,4.523,6.6893982072429,2.32
"399","Indiana",1973,2,2,10.665,4.368,7.82880726592339,2.62
"400","Indiana",1973,2,3,6.205,-2.045,1.20686306036077,12.66
"401","Indiana",1973,2,4,11.615,-0.638,0,12.19
"402","Indiana",1973,2,5,11.917,0.745,0,10.98
"403","Indiana",1973,2,6,8.008,2.241,0,5.81
"404","Indiana",1973,2,7,4.189,-1.051,1.85925960539635,3.4
"405","Indiana",1973,2,8,-0.065,-7.974,2.00664778014925,10.86
"406","Indiana",1973,2,9,-3.103,-12.282,0,14.5
"407","Indiana",1973,2,10,-1.417,-10.671,0,9.84
"408","Indiana",1973,2,11,0.248,-9.681,0,14.11
"409","Indiana",1973,2,12,5.197,-7.637,0,14.65
"410","Indiana",1973,2,13,3.646,-3.179,1.21109783646034,4.14
"411","Indiana",1973,2,14,3.353,0.926,2.42597601379657,1.64
"412","Indiana",1973,2,15,2.192,-6.392,3.82308377243135,7.33
"413","Indiana",1973,2,16,-7.288,-13.221,0,9.8
"414","Indiana",1973,2,17,-3.67,-13.652,0,15.65
"415","Indiana",1973,2,18,2.384,-6.636,0,12.6
"416","Indiana",1973,2,19,6.309,-2.564,0,12.15
"417","Indiana",1973,2,20,3.533,0.276,1.72289499003497,9.24
"418","Indiana",1973,2,21,0.646,-2.97,0,12.27
"419","Indiana",1973,2,22,6.463,-7.512,0,12.84
"420","Indiana",1973,2,23,4.259,-2.756,0,10.79
"421","Indiana",1973,2,24,8.862,-4.725,0,16.18
"422","Indiana",1973,2,25,12.767,0.178,0,12.45
"423","Indiana",1973,2,26,8.569,-1.451,0,3.58
"424","Indiana",1973,2,27,4.819,-3.242,0,14.16
"425","Indiana",1973,2,28,8.972,-5.046,0,16.51
"426","Indiana",1973,3,1,12.579,0.875,0,12.95
"427","Indiana",1973,3,2,13.161,5.294,1.20046722742018,7.46
"428","Indiana",1973,3,3,13.538,8.642,3.2909155543166,4.03
"429","Indiana",1973,3,4,12.336,7.259,0,4.23
"430","Indiana",1973,3,5,14.825,7.741,13.1201177834441,7.91
"431","Indiana",1973,3,6,20.903,4.752,0,14.7
"432","Indiana",1973,3,7,18.849,11.296,15.3624117373852,14.69
"433","Indiana",1973,3,8,16.485,3.324,0,18.35
"434","Indiana",1973,3,9,11.897,3.579,11.729071321497,3.51
"435","Indiana",1973,3,10,19.588,7.969,4.86386936546523,6.14
"436","Indiana",1973,3,11,18.52,13.725,34.9966919753797,7.48
"437","Indiana",1973,3,12,12.846,6.656,0,9.59
"438","Indiana",1973,3,13,16.661,3.805,0,14.09
"439","Indiana",1973,3,14,20.689,13.81,4.64763045300742,11
"440","Indiana",1973,3,15,18.506,13.643,0,18.34
